Train Loss: 2.1064, Val Loss: 0.1088
Train Loss: 0.1737, Val Loss: 0.1033
Train Loss: 0.1390, Val Loss: 0.1017
Train Loss: 0.1270, Val Loss: 0.1005
Train Loss: 0.1201, Val Loss: 0.0997
Train Loss: 0.1156, Val Loss: 0.0988
Train Loss: 0.1121, Val Loss: 0.0982
Train Loss: 0.1098, Val Loss: 0.0979
Train Loss: 0.1075, Val Loss: 0.0975
Train Loss: 0.1054, Val Loss: 0.0968
Train Loss: 0.1042, Val Loss: 0.0964
Train Loss: 0.1024, Val Loss: 0.0961
Train Loss: 0.1014, Val Loss: 0.0957
Train Loss: 0.0999, Val Loss: 0.0957
Train Loss: 0.0991, Val Loss: 0.0952
Train Loss: 0.0981, Val Loss: 0.0949
Train Loss: 0.0971, Val Loss: 0.0948
Train Loss: 0.0962, Val Loss: 0.0947
Train Loss: 0.0955, Val Loss: 0.0944
Train Loss: 0.0948, Val Loss: 0.0944
